initTime;0.091992
solveTime;0.007916
solutions;1
variables;14011
propagators;13537
propagations;65892
nodes;38
failures;0
restarts;0
peakDepth;37
initTime;0.099036
solveTime;0.008741
solutions;1
variables;14011
propagators;13537
propagations;65892
nodes;38
failures;0
restarts;0
peakDepth;37
initTime;0.402
solveTime;0.027
solutions;1
variables;14011
propagators;13537
propagations;69148
nodes;38
failures;0
restarts;0
peakDepth;37
initTime;0.375
solveTime;0.021
solutions;1
variables;14011
propagators;13537
propagations;69148
nodes;38
failures;0
restarts;0
peakDepth;37
initTime;0.379
solveTime;0.014
solutions;1
variables;14011
propagators;13537
propagations;69148
nodes;38
failures;0
restarts;0
peakDepth;37
initTime;0.453
solveTime;0.019
solutions;1
variables;14011
propagators;13537
propagations;69148
nodes;38
failures;0
restarts;0
peakDepth;37
initTime;0.404
solveTime;0.018
solutions;1
variables;14011
propagators;13537
propagations;69148
nodes;38
failures;0
restarts;0
peakDepth;37
initTime;0.404
solveTime;0.019
solutions;1
variables;14011
propagators;13537
propagations;69148
nodes;38
failures;0
restarts;0
peakDepth;37
initTime;0.417
solveTime;0.02
solutions;1
variables;14011
propagators;13537
propagations;69148
nodes;38
failures;0
restarts;0
peakDepth;37
initTime;0.402
solveTime;0.018
solutions;1
variables;14011
propagators;13537
propagations;69148
nodes;38
failures;0
restarts;0
peakDepth;37
